"Step","offset 100 (3) - mu_0","offset 100 (3) - mu_0__MIN","offset 100 (3) - mu_0__MAX","offset 100 (2) - mu_0","offset 100 (2) - mu_0__MIN","offset 100 (2) - mu_0__MAX","offset 100 (1) - mu_0","offset 100 (1) - mu_0__MIN","offset 100 (1) - mu_0__MAX","offset 100 (5) - mu_0","offset 100 (5) - mu_0__MIN","offset 100 (5) - mu_0__MAX","offset 100 (4) - mu_0","offset 100 (4) - mu_0__MIN","offset 100 (4) - mu_0__MAX"
"7500","99.81218719482422","99.81218719482422","99.81218719482422","99.2927474975586","99.2927474975586","99.2927474975586","174.3170928955078","174.3170928955078","174.3170928955078","44.56865692138672","44.56865692138672","44.56865692138672","179.94532775878906","179.94532775878906","179.94532775878906"
"7600","99.83902740478516","99.83902740478516","99.83902740478516","99.31719207763672","99.31719207763672","99.31719207763672","174.78985595703125","174.78985595703125","174.78985595703125","44.32859420776367","44.32859420776367","44.32859420776367","179.76478576660156","179.76478576660156","179.76478576660156"
"7700","99.86736297607422","99.86736297607422","99.86736297607422","99.34187316894531","99.34187316894531","99.34187316894531","173.76593017578125","173.76593017578125","173.76593017578125","44.324684143066406","44.324684143066406","44.324684143066406","181.09498596191406","181.09498596191406","181.09498596191406"
"7800","99.89370727539062","99.89370727539062","99.89370727539062","99.36590576171875","99.36590576171875","99.36590576171875","173.6461639404297","173.6461639404297","173.6461639404297","44.52589416503906","44.52589416503906","44.52589416503906","180.81369018554688","180.81369018554688","180.81369018554688"
"7900","99.91946411132812","99.91946411132812","99.91946411132812","99.39175415039062","99.39175415039062","99.39175415039062","173.95501708984375","173.95501708984375","173.95501708984375","45.10795211791992","45.10795211791992","45.10795211791992","180.3487091064453","180.3487091064453","180.3487091064453"
"8000","99.94575500488281","99.94575500488281","99.94575500488281","99.41071319580078","99.41071319580078","99.41071319580078","173.26943969726562","173.26943969726562","173.26943969726562","45.30307388305664","45.30307388305664","45.30307388305664","181.13356018066406","181.13356018066406","181.13356018066406"
"8100","99.97151947021484","99.97151947021484","99.97151947021484","99.43184661865234","99.43184661865234","99.43184661865234","172.54141235351562","172.54141235351562","172.54141235351562","45.332122802734375","45.332122802734375","45.332122802734375","181.31304931640625","181.31304931640625","181.31304931640625"
"8200","99.99752044677734","99.99752044677734","99.99752044677734","99.45462036132812","99.45462036132812","99.45462036132812","173.57305908203125","173.57305908203125","173.57305908203125","44.948753356933594","44.948753356933594","44.948753356933594","181.28575134277344","181.28575134277344","181.28575134277344"
"8300","100.01480102539062","100.01480102539062","100.01480102539062","99.48054504394531","99.48054504394531","99.48054504394531","172.27044677734375","172.27044677734375","172.27044677734375","44.73332214355469","44.73332214355469","44.73332214355469","181.09336853027344","181.09336853027344","181.09336853027344"
"8400","100.04068756103516","100.04068756103516","100.04068756103516","99.50537109375","99.50537109375","99.50537109375","170.426513671875","170.426513671875","170.426513671875","44.08425521850586","44.08425521850586","44.08425521850586","181.41014099121094","181.41014099121094","181.41014099121094"
"8500","100.06666564941406","100.06666564941406","100.06666564941406","99.52955627441406","99.52955627441406","99.52955627441406","172.26295471191406","172.26295471191406","172.26295471191406","44.67537307739258","44.67537307739258","44.67537307739258","181.31385803222656","181.31385803222656","181.31385803222656"
"8600","100.09281921386719","100.09281921386719","100.09281921386719","99.55360412597656","99.55360412597656","99.55360412597656","171.82994079589844","171.82994079589844","171.82994079589844","44.48157501220703","44.48157501220703","44.48157501220703","181.1559600830078","181.1559600830078","181.1559600830078"
"8700","100.11910247802734","100.11910247802734","100.11910247802734","99.57782745361328","99.57782745361328","99.57782745361328","169.94573974609375","169.94573974609375","169.94573974609375","45.122581481933594","45.122581481933594","45.122581481933594","180.59075927734375","180.59075927734375","180.59075927734375"
"8800","100.1455307006836","100.1455307006836","100.1455307006836","99.60297393798828","99.60297393798828","99.60297393798828","169.24008178710938","169.24008178710938","169.24008178710938","45.02505111694336","45.02505111694336","45.02505111694336","181.0484161376953","181.0484161376953","181.0484161376953"
"8900","100.17538452148438","100.17538452148438","100.17538452148438","99.62787628173828","99.62787628173828","99.62787628173828","164.47361755371094","164.47361755371094","164.47361755371094","45.47746276855469","45.47746276855469","45.47746276855469","180.50009155273438","180.50009155273438","180.50009155273438"
"9000","100.2018051147461","100.2018051147461","100.2018051147461","99.651123046875","99.651123046875","99.651123046875","161.3404083251953","161.3404083251953","161.3404083251953","45.58192825317383","45.58192825317383","45.58192825317383","180.25515747070312","180.25515747070312","180.25515747070312"
"9100","100.22791290283203","100.22791290283203","100.22791290283203","99.67357635498047","99.67357635498047","99.67357635498047","159.53985595703125","159.53985595703125","159.53985595703125","44.90205001831055","44.90205001831055","44.90205001831055","180.0888214111328","180.0888214111328","180.0888214111328"
"9200","100.2546157836914","100.2546157836914","100.2546157836914","99.69539642333984","99.69539642333984","99.69539642333984","159.31539916992188","159.31539916992188","159.31539916992188","44.72142028808594","44.72142028808594","44.72142028808594","180.61663818359375","180.61663818359375","180.61663818359375"
"9300","100.27957916259766","100.27957916259766","100.27957916259766","99.7169189453125","99.7169189453125","99.7169189453125","159.11766052246094","159.11766052246094","159.11766052246094","44.576194763183594","44.576194763183594","44.576194763183594","180.46043395996094","180.46043395996094","180.46043395996094"
"9400","100.31583404541016","100.31583404541016","100.31583404541016","99.74189758300781","99.74189758300781","99.74189758300781","158.4697265625","158.4697265625","158.4697265625","45.84752655029297","45.84752655029297","45.84752655029297","180.12200927734375","180.12200927734375","180.12200927734375"
"9500","100.34201049804688","100.34201049804688","100.34201049804688","99.76749420166016","99.76749420166016","99.76749420166016","158.64454650878906","158.64454650878906","158.64454650878906","45.84886932373047","45.84886932373047","45.84886932373047","179.46629333496094","179.46629333496094","179.46629333496094"
"9600","100.3681411743164","100.3681411743164","100.3681411743164","99.7683334350586","99.7683334350586","99.7683334350586","156.96011352539062","156.96011352539062","156.96011352539062","45.59428024291992","45.59428024291992","45.59428024291992","178.8396759033203","178.8396759033203","178.8396759033203"
"9700","100.39336395263672","100.39336395263672","100.39336395263672","99.79144287109375","99.79144287109375","99.79144287109375","155.59228515625","155.59228515625","155.59228515625","45.44818115234375","45.44818115234375","45.44818115234375","179.5649871826172","179.5649871826172","179.5649871826172"
"9800","100.41944122314453","100.41944122314453","100.41944122314453","99.8154525756836","99.8154525756836","99.8154525756836","155.37388610839844","155.37388610839844","155.37388610839844","46.09864807128906","46.09864807128906","46.09864807128906","179.5292205810547","179.5292205810547","179.5292205810547"
"9900","100.43647003173828","100.43647003173828","100.43647003173828","99.83740234375","99.83740234375","99.83740234375","153.18434143066406","153.18434143066406","153.18434143066406","46.051536560058594","46.051536560058594","46.051536560058594","179.6249237060547","179.6249237060547","179.6249237060547"
"10000","100.46282196044922","100.46282196044922","100.46282196044922","99.86089324951172","99.86089324951172","99.86089324951172","151.99087524414062","151.99087524414062","151.99087524414062","46.017520904541016","46.017520904541016","46.017520904541016","179.4875030517578","179.4875030517578","179.4875030517578"
"10100","100.4880599975586","100.4880599975586","100.4880599975586","99.88206481933594","99.88206481933594","99.88206481933594","150.8586883544922","150.8586883544922","150.8586883544922","45.639068603515625","45.639068603515625","45.639068603515625","179.5757293701172","179.5757293701172","179.5757293701172"
